file,label,prediction,confidence,details
C:\Users\GOWTHAM\OneDrive\Desktop\Hackathon\Deepfake-Detection-for-Audio\data\Dummy Test Dataset\testing\real\file10.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,real,fake,0.35000000000000003,"{'spectral_analysis': {'score': 0.2, 'indicators': ['Low spectral flatness (tonal)']}, 'prosodic_analysis': {'score': 0.3, 'indicators': ['Unusually high voiced speech ratio']}, 'neural_artifacts': {'score': 0.55, 'indicators': ['Low high-frequency content', 'Highly periodic signal']}}"
C:\Users\GOWTHAM\OneDrive\Desktop\Hackathon\Deepfake-Detection-for-Audio\data\Dummy Test Dataset\testing\real\file19.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,real,fake,0.4166666666666667,"{'spectral_analysis': {'score': 0.2, 'indicators': ['Low spectral flatness (tonal)']}, 'prosodic_analysis': {'score': 0.3, 'indicators': ['Unusually high voiced speech ratio']}, 'neural_artifacts': {'score': 0.75, 'indicators': ['Low high-frequency content', 'Highly periodic signal', 'Many spectral peaks']}}"
C:\Users\GOWTHAM\OneDrive\Desktop\Hackathon\Deepfake-Detection-for-Audio\data\Dummy Test Dataset\testing\real\file25.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,real,fake,0.4166666666666667,"{'spectral_analysis': {'score': 0.2, 'indicators': ['Low spectral flatness (tonal)']}, 'prosodic_analysis': {'score': 0.3, 'indicators': ['Unusually high voiced speech ratio']}, 'neural_artifacts': {'score': 0.75, 'indicators': ['Low high-frequency content', 'Highly periodic signal', 'Many spectral peaks']}}"
C:\Users\GOWTHAM\OneDrive\Desktop\Hackathon\Deepfake-Detection-for-Audio\data\Dummy Test Dataset\testing\real\file29.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,real,fake,0.35000000000000003,"{'spectral_analysis': {'score': 0.2, 'indicators': ['Low spectral flatness (tonal)']}, 'prosodic_analysis': {'score': 0.3, 'indicators': ['Unusually high voiced speech ratio']}, 'neural_artifacts': {'score': 0.55, 'indicators': ['Low high-frequency content', 'Highly periodic signal']}}"
C:\Users\GOWTHAM\OneDrive\Desktop\Hackathon\Deepfake-Detection-for-Audio\data\Dummy Test Dataset\testing\real\file3.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,real,fake,0.35000000000000003,"{'spectral_analysis': {'score': 0.2, 'indicators': ['Low spectral flatness (tonal)']}, 'prosodic_analysis': {'score': 0.3, 'indicators': ['Unusually high voiced speech ratio']}, 'neural_artifacts': {'score': 0.55, 'indicators': ['Low high-frequency content', 'Highly periodic signal']}}"
C:\Users\GOWTHAM\OneDrive\Desktop\Hackathon\Deepfake-Detection-for-Audio\data\Dummy Test Dataset\testing\real\file31.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,real,fake,0.4166666666666667,"{'spectral_analysis': {'score': 0.2, 'indicators': ['Low spectral flatness (tonal)']}, 'prosodic_analysis': {'score': 0.3, 'indicators': ['Unusually high voiced speech ratio']}, 'neural_artifacts': {'score': 0.75, 'indicators': ['Low high-frequency content', 'Highly periodic signal', 'Many spectral peaks']}}"
C:\Users\GOWTHAM\OneDrive\Desktop\Hackathon\Deepfake-Detection-for-Audio\data\Dummy Test Dataset\testing\real\file33.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,real,fake,0.4166666666666667,"{'spectral_analysis': {'score': 0.2, 'indicators': ['Low spectral flatness (tonal)']}, 'prosodic_analysis': {'score': 0.3, 'indicators': ['Unusually high voiced speech ratio']}, 'neural_artifacts': {'score': 0.75, 'indicators': ['Low high-frequency content', 'Highly periodic signal', 'Many spectral peaks']}}"
C:\Users\GOWTHAM\OneDrive\Desktop\Hackathon\Deepfake-Detection-for-Audio\data\Dummy Test Dataset\testing\real\file35.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,real,fake,0.35000000000000003,"{'spectral_analysis': {'score': 0.2, 'indicators': ['Low spectral flatness (tonal)']}, 'prosodic_analysis': {'score': 0.3, 'indicators': ['Unusually high voiced speech ratio']}, 'neural_artifacts': {'score': 0.55, 'indicators': ['Low high-frequency content', 'Highly periodic signal']}}"
C:\Users\GOWTHAM\OneDrive\Desktop\Hackathon\Deepfake-Detection-for-Audio\data\Dummy Test Dataset\testing\real\file40.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,real,real,0.25,"{'spectral_analysis': {'score': 0.2, 'indicators': ['Low spectral flatness (tonal)']}, 'prosodic_analysis': {'score': 0.3, 'indicators': ['Unusually high voiced speech ratio']}, 'neural_artifacts': {'score': 0.25, 'indicators': ['Highly periodic signal']}}"
C:\Users\GOWTHAM\OneDrive\Desktop\Hackathon\Deepfake-Detection-for-Audio\data\Dummy Test Dataset\testing\real\file41.wav_16k.wav_norm.wav_mono.wav_silence.wav_2sec.wav,real,fake,0.35000000000000003,"{'spectral_analysis': {'score': 0.2, 'indicators': ['Low spectral flatness (tonal)']}, 'prosodic_analysis': {'score': 0.3, 'indicators': ['Unusually high voiced speech ratio']}, 'neural_artifacts': {'score': 0.55, 'indicators': ['Low high-frequency content', 'Highly periodic signal']}}"
